#Timestamp,Adds,Deletes,Queries
1610474774,0,0,1
1610474897,325,72,0
1610475149,0,0,1
1610476509,0,0,1
1610476512,0,0,1
1610476710,369,156,0
1610478503,226,313,0
1610478815,0,0,1
1610479657,0,0,1
1610480006,0,0,1
1610480286,345,124,0
1610492814,0,0,1
1610492839,0,0,1
1610493247,0,0,1
1610493570,0,0,1
1610494008,2181,809,0
1610494155,0,0,1
1610495143,0,0,1
1610495804,305,61,0
1610497595,336,91,0
1610499393,376,308,0
1610501161,0,0,1
1610501163,269,202,0
1610501297,0,0,1
1610501306,0,0,1
1610502175,0,0,1
1610502944,119,98,0
1610504620,0,0,1
1610504650,0,0,1
1610504733,0,0,1
1610504735,212,84,0
1610506517,192,51,0
1610508325,197,34,0
1610510909,0,0,1
1610511794,0,0,1
1610512203,519,194,0
1610512569,0,0,1
1610512611,0,0,1
1610513741,0,0,1
1610513741,0,0,1
1610513772,0,0,1
1610514006,192,253,0
1610514438,0,0,1
1610514613,0,0,1
1610514774,0,0,1
1610515010,0,0,1
1610515066,0,0,1
1610515066,0,0,1
1610515181,0,0,1
1610515587,0,0,1
1610515587,0,0,1
1610515818,214,46,0
1610515849,0,0,1
1610517083,0,0,1
1610517642,300,221,0
1610559499,0,0,1
1610560345,5545,4473,0
1610562153,305,209,0
1610562722,0,0,1
